Date,Open,High,Low,Close,Volume
01-11-2010,1560,1560,1482.5,1508.3,875700
02-11-2010,1509.85,1524,1488,1493.4,345600
03-11-2010,1497.55,1508.6,1487,1496.1,235500
04-11-2010,1501,1514,1496.05,1507.6,352700
05-11-2010,1525,1525,1507,1508,40100
08-11-2010,1515,1519,1486,1488.6,228400
09-11-2010,1490,1506,1466,1471.95,382700
10-11-2010,1475,1478,1460.05,1475.1,209700
11-11-2010,1485,1487.5,1465.2,1470.4,217600
12-11-2010,1463,1469,1444.05,1454.5,213100
15-11-2010,1452,1459.15,1424,1436.9,133300
16-11-2010,1444.95,1449.35,1385.55,1400.65,382400
17-11-2010,1400,1400,1400,1400,0
18-11-2010,1409.85,1437.7,1376.7,1430.35,359700
19-11-2010,1433.9,1433.9,1397.1,1405.4,235500
22-11-2010,1410,1428,1395,1420.95,145500
23-11-2010,1415,1453.85,1396.9,1441.5,331000
24-11-2010,1440,1467,1403.15,1416.05,202900
25-11-2010,1416.15,1427.9,1371.35,1380.1,407000
26-11-2010,1386,1389.9,1336,1367,199100
29-11-2010,1370,1417.4,1365.3,1406.05,143000
30-11-2010,1406.05,1428.75,1376.45,1422,215500
01-12-2010,1420,1446.5,1402.15,1414.1,414000
02-12-2010,1437.3,1437.3,1403.4,1408.85,234300
03-12-2010,1410,1419.8,1391.3,1400.6,228400
06-12-2010,1417,1417,1391,1408.1,129500
07-12-2010,1410,1446.7,1408.7,1428.65,376500
08-12-2010,1430,1444.7,1392.15,1417.15,309100
09-12-2010,1406,1415,1383.25,1391.15,228100
10-12-2010,1390,1418.85,1365.7,1413.25,156700
13-12-2010,1420,1434.05,1402,1421.85,202800
14-12-2010,1420.05,1435,1406,1413.85,112000
15-12-2010,1414,1414.95,1387.6,1395,222300
16-12-2010,1398,1399,1365.25,1378,338000
17-12-2010,1373,1373,1373,1373,0
20-12-2010,1380.5,1422,1346,1414.85,325100
21-12-2010,1416.6,1454.8,1402.5,1423.3,610300
22-12-2010,1425.05,1431,1384.2,1394.1,297200
23-12-2010,1390.25,1399.95,1385.1,1392.35,346600
24-12-2010,1391,1398.45,1368,1391.5,208100
27-12-2010,1398,1407.8,1386.7,1394.35,149300
28-12-2010,1400,1406,1386.05,1395.2,193300
29-12-2010,1394.1,1424,1386.35,1417.9,228600
30-12-2010,1422,1439.5,1413,1420.45,231700
31-12-2010,1420.8,1430.5,1415,1421.6,153400
03-01-2011,1430,1450,1418.5,1426.05,300100
04-01-2011,1427,1453.4,1404.05,1428.75,540300
05-01-2011,1428,1435,1406.35,1412.45,275000
06-01-2011,1415.05,1425,1366.3,1373.9,353200
07-01-2011,1365,1367.7,1337.55,1340.55,493700
10-01-2011,1349,1350,1318.2,1326,254400
11-01-2011,1325,1330.7,1305.95,1318.45,394100
12-01-2011,1324,1328.9,1294.9,1317.65,316600
13-01-2011,1320,1325,1301.6,1315.55,263400
14-01-2011,1316,1319,1263.3,1269.7,468800
17-01-2011,1270,1280,1255,1269.6,206200
18-01-2011,1276,1285.05,1268.05,1277.6,210000
19-01-2011,1284,1284,1266.5,1272.7,233300
20-01-2011,1267.55,1268,1245.1,1259.25,186700
21-01-2011,1264,1267.7,1238.2,1248.65,361800
24-01-2011,1269,1299.95,1255,1292.5,285300
25-01-2011,1305,1305,1276.05,1288.15,237000
26-01-2011,1292,1292,1292,1292,0
27-01-2011,1299.8,1299.8,1263.1,1269.7,188700
28-01-2011,1272,1272,1220,1229.35,609400
31-01-2011,1199,1264.45,1150.3,1252.85,1056100
01-02-2011,1266,1275,1233.6,1242.4,331400
02-02-2011,1248.45,1248.45,1211,1217.05,446200
03-02-2011,1210,1229.9,1205.3,1218.2,355400
04-02-2011,1230,1236.4,1176,1182.95,309300
07-02-2011,1201,1201,1180,1189.75,155100
08-02-2011,1194,1194,1170.1,1176.8,214400
09-02-2011,1174,1189,1145,1154,178800
10-02-2011,1157.5,1174.85,1148.1,1160,268300
11-02-2011,1145,1186.8,1145,1181.35,306000
14-02-2011,1200,1228,1193,1224.1,258800
15-02-2011,1225,1242,1212,1236.7,215200
16-02-2011,1240,1240,1221,1227.95,94600
17-02-2011,1218.9,1239.95,1215,1228.05,128200
18-02-2011,1227,1256,1225,1228.7,355700
21-02-2011,1229,1230,1181,1207.35,203800
22-02-2011,1205,1205,1170.1,1181.1,189500
23-02-2011,1178,1202.6,1178,1192.5,339400
24-02-2011,1178,1199,1154.7,1174.55,656000
25-02-2011,1183,1183,1144.6,1168.65,347500
28-02-2011,1171,1228,1158.5,1208.2,376900
01-03-2011,1209.1,1312.7,1206,1290.75,759100
02-03-2011,1294,1294,1294,1294,0
03-03-2011,1281.15,1334,1271.05,1322.25,461500
04-03-2011,1325,1341.6,1294.9,1312.05,455100
07-03-2011,1281,1290,1249.15,1260.85,252300
08-03-2011,1267.8,1274.9,1245.5,1256.15,406600
09-03-2011,1262,1283,1260.1,1266,181200
10-03-2011,1264.75,1285,1255.35,1271.4,220900
11-03-2011,1256.5,1278.5,1240,1250.85,252600
14-03-2011,1242.25,1266,1218.05,1257,555000
15-03-2011,1220,1229.9,1200,1214.15,447400
16-03-2011,1219.8,1228.9,1214.1,1219.25,233400
17-03-2011,1205.2,1213.9,1155.05,1165.1,1136100
18-03-2011,1183.7,1201,1147.1,1156.2,1087200
21-03-2011,1161.2,1166,1122,1128.2,524600
22-03-2011,1136.05,1179,1133.05,1171.95,879100
23-03-2011,1170,1181,1157.1,1175.95,458400
24-03-2011,1170,1184,1157.8,1167.15,569600
25-03-2011,1173,1185,1161.5,1182.3,504900
28-03-2011,1189.8,1210.35,1180,1201.7,604100
29-03-2011,1210,1249.9,1206,1237.95,593100
30-03-2011,1246,1295.8,1238.85,1269,934400
31-03-2011,1269,1286,1251,1262.15,851000
01-04-2011,1251.65,1292.4,1251.65,1271.1,373300
04-04-2011,1286,1304.9,1258.6,1300.35,406600
05-04-2011,1300.35,1322,1282.8,1310.85,327400
06-04-2011,1327,1328.1,1288.05,1297.5,477800
07-04-2011,1279.55,1285,1268,1278.25,378300
08-04-2011,1275,1284.5,1250,1253.85,274000
11-04-2011,1250,1254.1,1231,1237.6,161300
12-04-2011,1237,1237,1237,1237,0
13-04-2011,1214,1282.15,1214,1278.15,486600
14-04-2011,1280,1280,1280,1280,0
15-04-2011,1270.5,1284,1255,1257.2,199800
18-04-2011,1256,1282,1250.5,1262.35,472600
19-04-2011,1250,1267.25,1240,1254.7,342300
20-04-2011,1258,1270.1,1250.1,1265,370500
21-04-2011,1274.9,1314,1267,1307,687100
22-04-2011,1310.7,1310.7,1310.7,1310.7,0
25-04-2011,1310,1335,1286.3,1326.45,1325300
26-04-2011,1324.9,1324.9,1297.25,1302.6,543600
27-04-2011,1308.9,1329.9,1305.2,1316.8,307200
28-04-2011,1321.2,1325.3,1297,1301.25,255700
29-04-2011,1295.25,1328.65,1288.65,1317.65,336400
02-05-2011,1320,1334,1286.1,1291.6,541700
03-05-2011,1290,1290,1241.25,1273.8,660800
04-05-2011,1268.5,1269,1241,1244.6,421100
05-05-2011,1244,1274.3,1235.3,1253.85,370000
06-05-2011,1254,1287,1242.4,1273.5,481300
09-05-2011,1276.5,1279.9,1240,1245.5,154100
10-05-2011,1245,1254.5,1234,1241.8,186600
11-05-2011,1236.4,1245.8,1214.15,1222.85,347200
12-05-2011,1220,1238,1215,1219.2,189600
13-05-2011,1219.2,1237,1215,1222.45,146600
16-05-2011,1215,1238.35,1203.3,1230.5,221700
17-05-2011,1230.5,1230.5,1205,1210,124900
18-05-2011,1209,1232.9,1190,1216.6,343900
19-05-2011,1210,1223.2,1206,1211.75,106500
20-05-2011,1212.3,1240.8,1210,1223.2,82300
23-05-2011,1207,1220,1200,1203.75,83600
24-05-2011,1206,1225.95,1195.65,1204.5,139300
25-05-2011,1201,1208.85,1192.25,1200.75,134900
26-05-2011,1195.35,1234.6,1195.35,1215.3,261000
27-05-2011,1210,1227,1201,1221.7,215100
30-05-2011,1224.95,1226,1207,1210.45,122500
31-05-2011,1220,1237,1213,1230.15,419300
01-06-2011,1220,1255,1220,1250.1,444000
02-06-2011,1231,1245.85,1220,1225.4,230600
03-06-2011,1230,1244.9,1218.55,1233.9,219800
06-06-2011,1228,1238.9,1210,1232,186500
07-06-2011,1210.95,1245,1210.95,1240,278500
08-06-2011,1225,1236.05,1218,1223.9,187900
09-06-2011,1215,1222.7,1210,1215.05,168500
10-06-2011,1205.15,1241,1191.05,1226.65,577900
13-06-2011,1220,1236.4,1208.15,1224.95,408800
14-06-2011,1215,1228.9,1208.2,1222.45,290800
15-06-2011,1214.2,1223.9,1205.1,1210,175700
16-06-2011,1196,1200,1183.9,1193.15,354300
17-06-2011,1224,1232,1161.3,1165,1075300
20-06-2011,1177,1177,1130.05,1160.75,523500
21-06-2011,1164.95,1170,1136,1144.8,261500
22-06-2011,1145.15,1149.9,1117.1,1122.75,359700
23-06-2011,1117,1118,1092,1099.3,556200
24-06-2011,1104,1125,1085.8,1119.6,836900
27-06-2011,1109.9,1159.2,1106,1152.75,434600
28-06-2011,1174.7,1174.7,1142.25,1157.85,267300
29-06-2011,1157,1183,1155.25,1176.95,235700
30-06-2011,1185,1186.75,1154.05,1159.9,416000
01-07-2011,1154,1155,1130,1143.15,447000
04-07-2011,1144,1163.95,1131.35,1157.8,278500
05-07-2011,1155.1,1170.85,1153.5,1166.35,183200
06-07-2011,1155.2,1174.85,1155.2,1168.9,179400
07-07-2011,1163,1189,1158.8,1182.7,229200
08-07-2011,1184.8,1202,1177.05,1184.25,341400
11-07-2011,1175.2,1178,1155,1164.15,162900
12-07-2011,1151.5,1152,1140.25,1147.45,174200
13-07-2011,1154,1167.9,1154,1164.8,151800
14-07-2011,1151.3,1188.4,1151.3,1174.2,368700
15-07-2011,1170.05,1184.7,1161.6,1177.55,171000
18-07-2011,1170,1188.95,1165,1174.75,151300
19-07-2011,1169.5,1174.9,1158.45,1163,245300
20-07-2011,1168.7,1176.9,1159.1,1162.7,255300
21-07-2011,1155.05,1170,1147.6,1156.15,172100
22-07-2011,1159,1168,1155,1161.6,376800
25-07-2011,1156.7,1185,1153.6,1181.25,203800
26-07-2011,1176,1201.7,1154.75,1176.95,1430900
27-07-2011,1182.9,1216.4,1172.2,1209.25,503500
28-07-2011,1197,1225,1178.55,1185.9,653400
29-07-2011,1189,1219.8,1189,1206.65,333000
01-08-2011,1210.1,1228.9,1191.45,1209.6,381500
02-08-2011,1193.05,1215.8,1193.05,1212.2,271800
03-08-2011,1195.5,1221.65,1195.5,1212.3,428400
04-08-2011,1198.05,1216,1193.35,1200.3,476000
05-08-2011,1170,1200,1168.8,1192,363400
08-08-2011,1178.45,1207.55,1163.1,1191.75,356000
09-08-2011,1170.05,1216.9,1170,1211.95,386200
10-08-2011,1225,1283.4,1215.6,1277.6,819300
11-08-2011,1270.55,1282,1239.25,1247.65,399000
12-08-2011,1249.4,1269,1238,1246.35,442100
16-08-2011,1246.2,1255.6,1220.1,1225.1,340300
17-08-2011,1220,1230.8,1179,1186,385000
18-08-2011,1197,1203,1152.65,1159.4,286900
19-08-2011,1137,1166.45,1134.1,1159.05,271900
22-08-2011,1165.5,1174.6,1149.1,1169.4,209400
23-08-2011,1171.1,1174.5,1152.4,1158.2,201700
24-08-2011,1145,1156.8,1097.35,1114.5,650600
25-08-2011,1124,1130.2,1103.4,1110.8,517700
26-08-2011,1117.05,1129,1047.75,1083.4,341700
29-08-2011,1080,1107,1056,1079.4,688900
30-08-2011,1070.1,1098.95,1063.6,1094.7,835800
02-09-2011,1072.05,1089,1067.05,1078.95,425100
05-09-2011,1073.5,1098.15,1064.25,1085.5,359400
06-09-2011,1088.9,1118.7,1088.9,1102.95,643400
07-09-2011,1103.45,1139.9,1093.3,1126.4,720700
08-09-2011,1137.9,1142,1122.4,1131.9,469200
09-09-2011,1136,1149,1098.9,1103.4,355400
12-09-2011,1098,1098,1056,1068.25,261100
13-09-2011,1070.55,1096,1061.65,1074.9,422700
14-09-2011,1078,1104,1041.35,1094.6,353900
15-09-2011,1085.2,1095.85,1060,1082.25,781300
16-09-2011,1071.1,1117.65,1065,1109.45,1247600
19-09-2011,1105,1148.6,1096.05,1140.75,1402200
20-09-2011,1139.85,1161.9,1116.5,1154.95,1153700
21-09-2011,1143.05,1148.45,1116.45,1122.7,448600
22-09-2011,1110,1114.8,1080,1087.1,569800
23-09-2011,1070,1106.15,1048.6,1090.9,659200
